Año,Mes,Municipio,Departamento,Presunto Responsable,Total de Víctimas del Caso,Latitud,Longitud
1997,04,AMALFI,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,2,6.977788843,-74.9812393
2000,10,BETANIA,ANTIOQUIA,GRUPO PARAMILITAR,1,5.727081285,-75.98689107
1990,00,NECHI,ANTIOQUIA,GUERRILLA,1,7.983477394,-74.65844186
1992,10,ARBOLETES,ANTIOQUIA,GUERRILLA,1,8.611395262,-76.41478317
1993,10,SAN MARTIN,META,GUERRILLA,2,3.515860962,-72.65672742
1999,04,CIUDAD BOLIVAR,ANTIOQUIA,GUERRILLA,1,5.840995666,-76.01065253
2004,05,SALGAR,ANTIOQUIA,GRUPO PARAMILITAR,1,5.970502334,-75.98137251
1997,10,PITALITO,HUILA,GUERRILLA,1,1.848217185,-76.05217643
2004,03,SANTO DOMINGO,ANTIOQUIA,GRUPO PARAMILITAR,1,6.481044132,-75.14260097
2003,05,MONTECRISTO,BOLIVAR,GRUPO PARAMILITAR,1,8.01710024,-74.46342911
2003,04,YUMBO,VALLE DEL CAUCA,GRUPO PARAMILITAR,2,3.595913669,-76.5109879
1991,00,CURUMANI,CESAR,GUERRILLA,1,9.238771332,-73.48810861
2007,11,ZARAGOZA,ANTIOQUIA,GRUPO POSDESMOVILIZACIÓN,1,7.474004006,-74.85848326
1996,05,YARUMAL,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,1,6.9881309,-75.45439957
2013,01,TULUA,VALLE DEL CAUCA,GUERRILLA,1,4.02840797,-76.03250379
1997,09,ITUANGO,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,1,7.341549718,-75.67842277
2001,12,QUINCHIA,RISARALDA,GRUPO PARAMILITAR,1,5.323906864,-75.71339683
1996,01,MANAURE BALCON DEL CESAR,CESAR,GUERRILLA,2,10.38027852,-73.00706275
2002,05,PUERTO GAITAN,META,GRUPO PARAMILITAR,1,4.005034467,-71.63157429
2005,12,LINARES,NARIÑO,GUERRILLA,1,1.395173084,-77.52093774
2010,01,VALPARAISO,CAQUETA,GRUPO POSDESMOVILIZACIÓN,1,1.07534915,-75.73779004
2000,12,IPIALES,NARIÑO,GRUPO PARAMILITAR,1,0.497708465,-77.24047625
1991,12,APARTADO,ANTIOQUIA,GUERRILLA,1,7.86047815,-76.58236264
1993,09,CAREPA,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,1,7.757967437,-76.64374657
0000,00,PIEDRAS,TOLIMA,CRIMEN ORGANIZADO,1,4.433764446,-74.99879938
0000,00,SAN VICENTE DEL CAGUAN,CAQUETA,GUERRILLA,1,1.308465061,-74.19746971
0000,00,SIN INFORMACION,SIN INFORMACION,GUERRILLA,12,4,-72
0000,00,SIN INFORMACION,SIN INFORMACION,GUERRILLA,1,4,-72
1964,00,LIBANO,TOLIMA,CRIMEN ORGANIZADO,1,4.877936755,-75.04763076
1965,01,OBANDO,VALLE DEL CAUCA,CRIMEN ORGANIZADO,1,4.597588666,-75.9491997
1965,02,"BOGOTA, D.C.","BOGOTA, D. C.",CRIMEN ORGANIZADO,1,4.316107698,-74.1810727
1990,05,URRAO,ANTIOQUIA,GUERRILLA,1,6.33534134,-76.25906482
1991,03,CAUCASIA,ANTIOQUIA,GUERRILLA,1,7.867941792,-75.03501824
1991,09,EL COPEY,CESAR,GRUPO ARMADO NO IDENTIFICADO,1,10.19995356,-73.91282064
1996,06,FRONTINO,ANTIOQUIA,GRUPO PARAMILITAR,1,6.691364773,-76.33199656
1997,05,LA UNION,ANTIOQUIA,GRUPO PARAMILITAR,1,5.940434685,-75.35429023
1997,11,TURBO,ANTIOQUIA,GRUPO PARAMILITAR,1,8.173851745,-76.5740377
1998,08,MUTATA,ANTIOQUIA,GUERRILLA,1,7.329557848,-76.4630657
2000,02,RIONEGRO,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,1,6.150785807,-75.41076052
2000,04,CIUDAD BOLIVAR,ANTIOQUIA,GUERRILLA,2,5.840995666,-76.01065253
2001,05,EL CARMEN DE VIBORAL,ANTIOQUIA,GRUPO PARAMILITAR,1,5.978078841,-75.2635361
2001,05,MAICAO,LA GUAJIRA,GRUPO PARAMILITAR,1,11.38157764,-72.29500818
2002,05,SIN INFORMACION,ANTIOQUIA,GUERRILLA,2,6.702032125,-75.50455704
2002,09,SANTA FE DE ANTIOQUIA,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,3,6.535711576,-75.90426658
2003,06,BELLO,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,1,6.358841086,-75.58973588
2003,07,OVEJAS,SUCRE,GRUPO ARMADO NO IDENTIFICADO,2,9.549655271,-75.18855916
2003,10,YONDO,ANTIOQUIA,GRUPO PARAMILITAR,1,6.925159318,-74.15824041
2004,04,TARAZA,ANTIOQUIA,GRUPO PARAMILITAR,1,7.488875998,-75.40189438
2004,04,PUERTO PARRA,SANTANDER,GRUPO PARAMILITAR,1,6.685278856,-73.95761256
2006,02,QUINCHIA,RISARALDA,GUERRILLA,1,5.323906864,-75.71339683
1999,03,ARAUCA,ARAUCA,GUERRILLA,1,6.796280825,-70.50921153
2001,05,PACORA,CALDAS,GUERRILLA,2,5.500035035,-75.48245057
2002,09,EL CARMEN DE ATRATO,CHOCO,GUERRILLA,2,5.810938364,-76.19189442
2003,05,LA PALMA,CUNDINAMARCA,GUERRILLA,1,5.333400646,-74.40807863
2003,07,UBALA,CUNDINAMARCA,GRUPO PARAMILITAR,4,4.803805182,-73.47654604
1995,00,RETIRO,ANTIOQUIA,GUERRILLA,1,6.053444254,-75.51573805
2015,09,SANTANDER DE QUILICHAO,CAUCA,GUERRILLA,1,2.984467338,-76.49873145
1964,03,GENOVA,QUINDIO,CRIMEN ORGANIZADO,2,4.180107773,-75.76056695
1961,10,VENADILLO,TOLIMA,CRIMEN ORGANIZADO,1,4.70988172,-74.92089886
1963,02,CHAGUANI,CUNDINAMARCA,CRIMEN ORGANIZADO,1,4.95425175,-74.63090139
1990,05,RIONEGRO,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,2,6.150785807,-75.41076052
2005,08,ARAUCA,ARAUCA,GRUPO PARAMILITAR,1,6.796280825,-70.50921153
2000,04,ANZA,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,1,6.293546613,-75.91736927
2001,08,CHAMEZA,CASANARE,GRUPO ARMADO NO IDENTIFICADO,1,5.228453404,-72.86496804
2002,06,MARULANDA,CALDAS,GRUPO ARMADO NO IDENTIFICADO,1,5.235585244,-75.28316648
2008,02,SARAVENA,ARAUCA,GUERRILLA,1,6.906941714,-71.85070757
2002,08,TAME,ARAUCA,GUERRILLA,2,6.390650479,-71.79178647
2005,11,SAN PABLO,BOLIVAR,GRUPO PARAMILITAR,2,7.507922612,-74.10356977
2004,03,SAN ROQUE,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,2,6.466165211,-74.9450732
0000,00,TARAZA,ANTIOQUIA,GRUPO PARAMILITAR,1,7.488875998,-75.40189438
1994,04,COCORNA,ANTIOQUIA,GUERRILLA,1,6.005593074,-75.16015403
1966,01,PLANADAS,TOLIMA,GUERRILLA,2,3.09897343,-75.81684413
2001,00,PAILITAS,CESAR,GUERRILLA,1,8.938916143,-73.57247213
1968,04,NEIVA,HUILA,GUERRILLA,18,2.993360046,-75.27236232
2001,04,LA TEBAIDA,QUINDIO,GRUPO PARAMILITAR,3,4.426884849,-75.81927335
0000,00,LA MONTAÑITA,CAQUETA,GRUPO ARMADO NO IDENTIFICADO,1,1.302860442,-75.23572732
2002,03,EL MOLINO,LA GUAJIRA,GUERRILLA,3,10.63669646,-72.8858431
2005,07,PUERTO ASIS,PUTUMAYO,GRUPO ARMADO NO IDENTIFICADO,1,0.433884539,-76.52158203
2002,12,OCAMONTE,SANTANDER,GRUPO PARAMILITAR,1,6.355368858,-73.12211833
1961,03,IBAGUE,TOLIMA,CRIMEN ORGANIZADO,2,4.451921427,-75.252591
1964,00,CARTAGO,VALLE DEL CAUCA,CRIMEN ORGANIZADO,1,4.70684716,-75.91790846
1964,00,ICONONZO,TOLIMA,CRIMEN ORGANIZADO,1,4.133276369,-74.53964257
0000,00,PIEDRAS,TOLIMA,CRIMEN ORGANIZADO,1,4.433764446,-74.99879938
1963,02,CHAGUANI,CUNDINAMARCA,CRIMEN ORGANIZADO,1,4.95425175,-74.63090139
1972,09,PRADO,TOLIMA,GRUPO ARMADO NO IDENTIFICADO,1,3.729166649,-74.87247706
1972,09,PRADO,TOLIMA,GRUPO ARMADO NO IDENTIFICADO,1,3.729166649,-74.87247706
1972,05,BUENAVENTURA,VALLE DEL CAUCA,GUERRILLA,2,3.493340766,-77.11872832
1972,04,CHAPARRAL,TOLIMA,GRUPO ARMADO NO IDENTIFICADO,3,3.743693084,-75.58986634
0000,00,SIN INFORMACION,TOLIMA,GRUPO ARMADO NO IDENTIFICADO,1,5.300811904,-72
1972,09,CHAPARRAL,TOLIMA,GRUPO ARMADO NO IDENTIFICADO,1,3.743693084,-75.58986634
1972,09,SAN VICENTE DE CHUCURI,SANTANDER,GUERRILLA,1,6.894292346,-73.53900334
1972,01,CHAPARRAL,TOLIMA,GRUPO ARMADO NO IDENTIFICADO,1,3.743693084,-75.58986634
1972,01,CHAPARRAL,TOLIMA,GRUPO ARMADO NO IDENTIFICADO,1,3.743693084,-75.58986634
1972,03,AGUACHICA,CESAR,GUERRILLA,1,8.248735219,-73.6227405
1972,06,PUERTO BERRIO,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,1,6.481922267,-74.5287421
1998,08,HISPANIA,ANTIOQUIA,GUERRILLA,2,5.797039002,-75.90669203
1965,07,EL CERRITO,VALLE DEL CAUCA,CRIMEN ORGANIZADO,1,3.656072873,-76.30841784
1968,07,SIN INFORMACION,SIN INFORMACION,AGENTE DEL ESTADO,1,4,-72
1966,01,CHAPARRAL,TOLIMA,GUERRILLA,1,3.743693084,-75.58986634
1970,00,AMALFI,ANTIOQUIA,GUERRILLA,1,6.977788843,-74.9812393
1970,10,NEIVA,HUILA,GRUPO ARMADO NO IDENTIFICADO,1,2.993360046,-75.27236232
1958,03,CORDOBA,QUINDIO,CRIMEN ORGANIZADO,1,4.395975176,-75.65132308
1958,04,SIN INFORMACION,SIN INFORMACION,CRIMEN ORGANIZADO,2,4,-72
0000,00,SIN INFORMACION,TOLIMA,GRUPO PARAMILITAR,1,5.300811904,-72
1991,11,YALI,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,1,6.716870679,-74.75565002
1961,01,AMBALEMA,TOLIMA,CRIMEN ORGANIZADO,4,4.803365246,-74.80998676
1963,02,SAN SEBASTIAN DE MARIQUITA,TOLIMA,CRIMEN ORGANIZADO,3,5.235322593,-74.90668089
1988,10,MOCOA,PUTUMAYO,GUERRILLA,4,1.26070915,-76.66584349
1989,04,LIBORINA,ANTIOQUIA,GUERRILLA,1,6.723990935,-75.78300046
1990,10,FRONTERA ECUADOR,EXTERIOR,GUERRILLA,14,0,-77.950224
1965,03,MEDELLIN,ANTIOQUIA,CRIMEN ORGANIZADO,1,6.257590259,-75.61103107
1965,02,"BOGOTA, D.C.","BOGOTA, D. C.",CRIMEN ORGANIZADO,1,4.316107698,-74.1810727
1965,03,CORINTO,CAUCA,GUERRILLA,1,3.136753606,-76.20964569
1965,05,SIN INFORMACION,HUILA,CRIMEN ORGANIZADO,1,4,-72
1965,03,BALBOA,RISARALDA,CRIMEN ORGANIZADO,1,4.918349676,-75.94275386
1965,04,LA MONTAÑITA,CAQUETA,CRIMEN ORGANIZADO,1,1.302860442,-75.23572732
1965,01,ATACO,TOLIMA,CRIMEN ORGANIZADO,1,3.37749064,-75.61373257
1965,11,PURIFICACION,TOLIMA,CRIMEN ORGANIZADO,1,3.854281614,-74.87451155
1965,01,ARGELIA,VALLE DEL CAUCA,CRIMEN ORGANIZADO,1,4.704287864,-76.14164999
1965,10,FLORIDA,VALLE DEL CAUCA,CRIMEN ORGANIZADO,1,3.304104295,-76.16477307
1965,12,CARTAGO,VALLE DEL CAUCA,CRIMEN ORGANIZADO,1,4.70684716,-75.91790846
1969,04,SIN INFORMACION,SIN INFORMACION,GRUPO ARMADO NO IDENTIFICADO,1,4,-72
1969,07,SIN INFORMACION,VALLE DEL CAUCA,GRUPO ARMADO NO IDENTIFICADO,1,4.969628406,-72
1969,09,RIVERA,HUILA,GUERRILLA,1,2.79286115,-75.23536868
1969,06,SEVILLA,VALLE DEL CAUCA,GRUPO ARMADO NO IDENTIFICADO,1,4.193411919,-75.88818163
1971,08,SAN VICENTE DE CHUCURI,SANTANDER,GUERRILLA,1,6.894292346,-73.53900334
1971,08,CIMITARRA,SANTANDER,GUERRILLA,1,6.40972961,-74.17030427
1971,09,PUERTO BERRIO,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,1,6.481922267,-74.5287421
1971,09,PUERTO BOYACA,BOYACA,GUERRILLA,1,5.953466654,-74.4528581
1961,07,SIN INFORMACION,TOLIMA,CRIMEN ORGANIZADO,1,5.300811904,-72
1999,06,LA PAZ,CESAR,GUERRILLA,2,10.24440562,-73.07824569
0000,00,SIN INFORMACION,SIN INFORMACION,GUERRILLA,1,4,-72
2001,00,SAN LUIS DE GACENO,BOYACA,GRUPO PARAMILITAR,1,4.798203543,-73.13397018
2007,03,LA UNION,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,3,5.940434685,-75.35429023
1993,12,YARUMAL,ANTIOQUIA,GRUPO PARAMILITAR,1,6.9881309,-75.45439957
1973,00,CIMITARRA,SANTANDER,GUERRILLA,1,6.40972961,-74.17030427
0000,00,CHIGORODO,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,1,7.631665644,-76.63964213
2005,04,TARAZA,ANTIOQUIA,GRUPO PARAMILITAR,1,7.488875998,-75.40189438
2003,00,PLATO,MAGDALENA,GUERRILLA,1,9.76945611,-74.60181576
1998,03,BECERRIL,CESAR,GUERRILLA,3,9.727732939,-73.25250522
0000,00,SIN INFORMACION,SIN INFORMACION,GRUPO PARAMILITAR,2,4,-72
2010,03,ALTO BAUDO,CHOCO,GRUPO POSDESMOVILIZACIÓN,18,5.636740989,-77.0842154
2012,04,SANTANDER DE QUILICHAO,CAUCA,GUERRILLA,1,2.984467338,-76.49873145
1999,09,CONCEPCION,SANTANDER,GUERRILLA,1,6.76062337,-72.61815735
1992,11,MACEO,ANTIOQUIA,GUERRILLA,1,6.534573585,-74.71410854
2003,09,SEGOVIA,ANTIOQUIA,GUERRILLA,1,7.26692339,-74.62163926
2000,03,FRONTINO,ANTIOQUIA,GUERRILLA,1,6.691364773,-76.33199656
2011,07,MORALES,CAUCA,GUERRILLA,1,2.773663981,-76.74605152
2001,05,CURUMANI,CESAR,GUERRILLA,1,9.238771332,-73.48810861
2007,08,CURUMANI,CESAR,GRUPO ARMADO NO IDENTIFICADO,1,9.238771332,-73.48810861
2008,09,MANI,CASANARE,GRUPO ARMADO NO IDENTIFICADO,1,4.675769488,-72.21280273
1999,03,MACEO,ANTIOQUIA,GUERRILLA,1,6.534573585,-74.71410854
2010,06,MACEO,ANTIOQUIA,GUERRILLA,1,6.534573585,-74.71410854
1990,05,LA CRUZ,NARIÑO,GUERRILLA,1,1.584175998,-76.92335262
1991,05,LA CRUZ,NARIÑO,GUERRILLA,1,1.584175998,-76.92335262
1998,07,OCAÑA,NORTE DE SANTANDER,GUERRILLA,1,8.206637527,-73.33765033
2001,11,VALLE DEL GUAMUEZ,PUTUMAYO,GRUPO PARAMILITAR,1,0.42012589,-76.77067026
1999,06,VALLE DEL GUAMUEZ,PUTUMAYO,GRUPO PARAMILITAR,1,0.42012589,-76.77067026
0000,01,MESETAS,META,GUERRILLA,1,3.154771201,-74.12454824
1991,03,TAMARA,CASANARE,GUERRILLA,1,5.878927424,-72.20067822
1992,08,VALLEDUPAR,CESAR,GUERRILLA,1,10.21890277,-73.45784764
2002,03,ARGELIA,ANTIOQUIA,GUERRILLA,1,5.708114524,-75.09469795
1998,08,SANTO DOMINGO,ANTIOQUIA,GRUPO PARAMILITAR,1,6.481044132,-75.14260097
1994,02,CAREPA,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,1,7.757967437,-76.64374657
2002,02,SONSON,ANTIOQUIA,GUERRILLA,1,5.826388779,-74.83637623
2009,12,COLOMBIA,HUILA,GUERRILLA,1,3.262763564,-74.78516117
2002,01,SONSON,ANTIOQUIA,GUERRILLA,1,5.826388779,-74.83637623
2002,03,ARGELIA,ANTIOQUIA,GUERRILLA,1,5.708114524,-75.09469795
2001,06,ARGELIA,ANTIOQUIA,GUERRILLA,1,5.708114524,-75.09469795
2002,03,ARGELIA,ANTIOQUIA,GUERRILLA,1,5.708114524,-75.09469795
2003,05,ARGELIA,ANTIOQUIA,GUERRILLA,1,5.708114524,-75.09469795
2000,03,ARGELIA,ANTIOQUIA,GUERRILLA,1,5.708114524,-75.09469795
1999,03,SAN LUIS,ANTIOQUIA,GUERRILLA,1,6.024205956,-75.0076674
1998,12,COCORNA,ANTIOQUIA,GUERRILLA,1,6.005593074,-75.16015403
2003,03,SONSON,ANTIOQUIA,GRUPO PARAMILITAR,1,5.826388779,-74.83637623
1996,05,URAMITA,ANTIOQUIA,GUERRILLA,1,6.913916924,-76.13318514
2002,05,ARGELIA,ANTIOQUIA,GUERRILLA,1,5.708114524,-75.09469795
1989,06,MARIA LA BAJA,BOLIVAR,GUERRILLA,1,9.976017168,-75.34380265
2007,03,SINCELEJO,SUCRE,GRUPO ARMADO NO IDENTIFICADO,1,9.316673928,-75.43174967
2001,03,PIENDAMO  TUNIA,CAUCA,GRUPO PARAMILITAR,1,2.702420026,-76.53770455
2004,03,VISTAHERMOSA,META,GUERRILLA,1,2.811616698,-73.66652234
2005,07,MORALES,BOLIVAR,GRUPO PARAMILITAR,1,8.253700061,-73.9713459
2005,06,AGUSTIN CODAZZI,CESAR,GRUPO PARAMILITAR,1,9.949215908,-73.22358244
2000,09,LA JAGUA DE IBIRICO,CESAR,GRUPO ARMADO NO IDENTIFICADO,1,9.52099808,-73.32249338
1997,04,VALLEDUPAR,CESAR,GUERRILLA,1,10.21890277,-73.45784764
1992,09,MORALES,BOLIVAR,GUERRILLA,1,8.253700061,-73.9713459
1998,05,CAMPOALEGRE,HUILA,GUERRILLA,1,2.658666675,-75.32943803
2002,12,TEORAMA,NORTE DE SANTANDER,GRUPO PARAMILITAR,1,8.760013794,-73.15714097
2003,02,URIBE,META,GUERRILLA,1,3.047726858,-74.43066134
2012,05,PUERTO CAICEDO,PUTUMAYO,GUERRILLA,1,0.70416861,-76.49864415
2000,06,RONCESVALLES,TOLIMA,GUERRILLA,1,4.097861181,-75.59428027
2002,12,SAMANA,CALDAS,GRUPO PARAMILITAR,1,5.519692873,-74.99718577
2001,01,MESETAS,META,GUERRILLA,1,3.154771201,-74.12454824
2005,03,EL COLEGIO,CUNDINAMARCA,GUERRILLA,1,4.556947085,-74.42658478
2008,04,GIGANTE,HUILA,GUERRILLA,1,2.371781539,-75.51699754
1992,01,SUCRE,SUCRE,GUERRILLA,1,8.814333477,-74.74753131
2001,07,VALLE DEL GUAMUEZ,PUTUMAYO,GRUPO PARAMILITAR,1,0.42012589,-76.77067026
2007,11,SANTIAGO DE CALI,VALLE DEL CAUCA,GUERRILLA,1,3.399043723,-76.57649259
2006,03,LOS ANDES,NARIÑO,GRUPO PARAMILITAR,1,1.672601269,-77.71054449
2002,09,POLICARPA,NARIÑO,GUERRILLA,1,1.735354202,-77.48134359
2008,10,POLICARPA,NARIÑO,GRUPO ARMADO NO IDENTIFICADO,1,1.735354202,-77.48134359
2003,12,POPAYAN,CAUCA,GUERRILLA,1,2.471704362,-76.59194419
1993,12,BAGADO,CHOCO,GUERRILLA,1,5.503119772,-76.19796907
2002,01,CALIFORNIA,SANTANDER,GUERRILLA,1,7.331565443,-72.95131825
2002,05,CALIFORNIA,SANTANDER,GUERRILLA,1,7.331565443,-72.95131825
2004,02,MONTERREY,CASANARE,GRUPO PARAMILITAR,1,4.841308642,-72.8473434
2002,04,BARRANCABERMEJA,SANTANDER,GRUPO ARMADO NO IDENTIFICADO,1,7.054074558,-73.78211646
0000,01,SAN ONOFRE,SUCRE,GRUPO ARMADO NO IDENTIFICADO,1,9.814599536,-75.50522919
2001,01,URIBE,META,GUERRILLA,1,3.047726858,-74.43066134
2000,05,POLICARPA,NARIÑO,GUERRILLA,1,1.735354202,-77.48134359
2001,02,SAN MIGUEL,PUTUMAYO,GUERRILLA,1,0.272449048,-76.84510459
2005,06,VALLE DEL GUAMUEZ,PUTUMAYO,GRUPO PARAMILITAR,1,0.42012589,-76.77067026
2002,03,ARGELIA,ANTIOQUIA,GUERRILLA,1,5.708114524,-75.09469795
2001,12,ITUANGO,ANTIOQUIA,GRUPO PARAMILITAR,1,7.341549718,-75.67842277
1987,06,VILLAVICENCIO,META,GUERRILLA,1,4.09166877,-73.49291595
2001,07,ANGOSTURA,ANTIOQUIA,GUERRILLA,1,6.861498764,-75.358316
2013,04,PASTO,NARIÑO,GRUPO POSDESMOVILIZACIÓN,1,1.083605497,-77.20610074
2000,05,VALLE DEL GUAMUEZ,PUTUMAYO,GRUPO PARAMILITAR,1,0.42012589,-76.77067026
2002,06,BUCARAMANGA,SANTANDER,GRUPO PARAMILITAR,1,7.155833544,-73.11156997
2005,06,PUERTO BERRIO,ANTIOQUIA,GRUPO PARAMILITAR,1,6.481922267,-74.5287421
1995,04,RIONEGRO,SANTANDER,GUERRILLA,1,7.474226085,-73.37246417
2002,05,POLICARPA,NARIÑO,GRUPO ARMADO NO IDENTIFICADO,1,1.735354202,-77.48134359
2002,06,SAN JOSE DEL FRAGUA,CAQUETA,GRUPO PARAMILITAR,1,1.304702314,-76.11000594
2006,09,GRANADA,CUNDINAMARCA,GUERRILLA,1,4.523484884,-74.33724619
2010,01,EL TABLON DE GOMEZ,NARIÑO,GRUPO POSDESMOVILIZACIÓN,1,1.409430207,-76.98526959
2007,12,PUERTO SALGAR,CUNDINAMARCA,GRUPO POSDESMOVILIZACIÓN,3,5.619752748,-74.5801923
2009,03,SAN ANDRES DE TUMACO,NARIÑO,GRUPO POSDESMOVILIZACIÓN,2,1.574550638,-78.61540963
2004,04,TIBU,NORTE DE SANTANDER,GRUPO PARAMILITAR,1,8.713507237,-72.79925855
2009,10,SIN INFORMACION,SIN INFORMACION,GUERRILLA,5,4,-72
2012,02,MUZO,BOYACA,GRUPO ARMADO NO IDENTIFICADO,2,5.539429272,-74.11177139
2004,08,SAN SEBASTIAN DE MARIQUITA,TOLIMA,GRUPO PARAMILITAR,1,5.235322593,-74.90668089
1989,05,CUCUTA,NORTE DE SANTANDER,GUERRILLA,1,8.112041811,-72.48862641
2003,01,SIMACOTA,SANTANDER,GUERRILLA,1,6.494231551,-73.45910992
1997,08,SAN PABLO,BOLIVAR,GUERRILLA,1,7.507922612,-74.10356977
1998,09,PUERTO RICO,CAQUETA,GUERRILLA,1,2.018940891,-75.07308627
1999,06,BUCARAMANGA,SANTANDER,GUERRILLA,18,7.155833544,-73.11156997
2001,06,SANTA MARTA,MAGDALENA,GUERRILLA,22,11.12189436,-73.88527855
2001,11,CONVENCION,NORTE DE SANTANDER,GUERRILLA,18,8.873159895,-73.20007769
2002,08,BAHIA SOLANO,CHOCO,GUERRILLA,27,6.162762775,-77.41653534
2000,10,CONCEPCION,ANTIOQUIA,GUERRILLA,2,6.376106187,-75.21785901
2003,04,GIRALDO,ANTIOQUIA,GUERRILLA,2,6.663095863,-75.94804663
2000,12,TIQUISIO,BOLIVAR,GUERRILLA,2,8.492345176,-74.29676139
2001,08,CURUMANI,CESAR,GUERRILLA,2,9.238771332,-73.48810861
2001,09,LA GLORIA,CESAR,GUERRILLA,2,8.588002247,-73.61602384
2001,01,SANTA BARBARA,ANTIOQUIA,GUERRILLA,2,5.878984956,-75.58330371
2001,03,ACHI,BOLIVAR,GUERRILLA,2,8.622943262,-74.47805945
2003,07,CHAPARRAL,TOLIMA,GUERRILLA,2,3.743693084,-75.58986634
2000,10,CALDAS,ANTIOQUIA,GUERRILLA,3,6.054446841,-75.62642674
2001,06,VALDIVIA,ANTIOQUIA,GUERRILLA,3,7.265404213,-75.40094502
2001,07,COCORNA,ANTIOQUIA,GUERRILLA,3,6.005593074,-75.16015403
2002,10,SAN LUIS,ANTIOQUIA,GUERRILLA,3,6.024205956,-75.0076674
2002,12,SAN LUIS,ANTIOQUIA,GUERRILLA,3,6.024205956,-75.0076674
2003,03,YARUMAL,ANTIOQUIA,GUERRILLA,3,6.9881309,-75.45439957
2001,06,ANSERMA,CALDAS,GUERRILLA,3,5.20029922,-75.75289078
2000,10,MORALES,CAUCA,GUERRILLA,3,2.773663981,-76.74605152
2001,11,PELAYA,CESAR,GUERRILLA,3,8.764116734,-73.63295546
1997,09,PRADERA,VALLE DEL CAUCA,GUERRILLA,2,3.42063665,-76.17841841
1998,05,PUERTO WILCHES,SANTANDER,GUERRILLA,2,7.398198257,-73.8354696
2004,07,TIBU,NORTE DE SANTANDER,GUERRILLA,1,8.713507237,-72.79925855
2001,09,MEDELLIN,ANTIOQUIA,GRUPO PARAMILITAR,1,6.257590259,-75.61103107
1999,07,MEDELLIN,ANTIOQUIA,GRUPO PARAMILITAR,1,6.257590259,-75.61103107
2005,10,TURBO,ANTIOQUIA,GRUPO PARAMILITAR,1,8.173851745,-76.5740377
2004,02,MEDELLIN,ANTIOQUIA,GRUPO PARAMILITAR,1,6.257590259,-75.61103107
2001,01,URIBE,META,GUERRILLA,1,3.047726858,-74.43066134
2001,01,URIBE,META,GUERRILLA,1,3.047726858,-74.43066134
2008,08,ORITO,PUTUMAYO,GUERRILLA,1,0.673756323,-76.94313923
2011,12,LEJANIAS,META,GUERRILLA,1,3.614714873,-74.09628467
1998,04,MUTATA,ANTIOQUIA,GRUPO ARMADO NO IDENTIFICADO,1,7.329557848,-76.4630657
1989,06,SAN PEDRO DE URABA,ANTIOQUIA,GUERRILLA,1,8.37915695,-76.31664233
2002,12,COCORNA,ANTIOQUIA,GRUPO PARAMILITAR,1,6.005593074,-75.16015403
2002,04,ARGELIA,ANTIOQUIA,GUERRILLA,1,5.708114524,-75.09469795
2000,01,CERRITO,SANTANDER,GRUPO PARAMILITAR,1,6.903923173,-72.64536324
2003,11,YARUMAL,ANTIOQUIA,GUERRILLA,1,6.9881309,-75.45439957
2006,02,MEDELLIN,ANTIOQUIA,GRUPO PARAMILITAR,1,6.257590259,-75.61103107
2000,02,SAN FRANCISCO,ANTIOQUIA,GUERRILLA,1,5.840093731,-74.98176334
2002,11,GRANADA,ANTIOQUIA,GRUPO PARAMILITAR,1,6.123380721,-75.12763646
2004,03,ANORI,ANTIOQUIA,GUERRILLA,1,7.193110778,-75.10848954
2000,12,TIBU,NORTE DE SANTANDER,GRUPO PARAMILITAR,1,8.713507237,-72.79925855
2003,01,SONSON,ANTIOQUIA,GRUPO PARAMILITAR,1,5.826388779,-74.83637623
2005,05,ARGELIA,ANTIOQUIA,GUERRILLA,1,5.708114524,-75.09469795
2009,06,SIMITI,BOLIVAR,GRUPO POSDESMOVILIZACIÓN,1,7.851315534,-73.98371609
1997,09,SAN LUIS DE PALENQUE,CASANARE,GRUPO PARAMILITAR,1,5.274955665,-71.81749276
2005,11,PATIA,CAUCA,GUERRILLA,1,2.157983906,-77.0465762
1997,02,ARGELIA,ANTIOQUIA,GUERRILLA,1,5.708114524,-75.09469795
2000,12,BUENOS AIRES,CAUCA,GRUPO PARAMILITAR,1,2.988923885,-76.62158951
2001,03,PIENDAMO  TUNIA,CAUCA,GRUPO PARAMILITAR,1,2.702420026,-76.53770455
